22/02/2022 21:16:29, DPS310, P, 99163.23
22/02/2022 21:16:29, DPS310, P, 99163.32
22/02/2022 21:16:29, DPS310, P, 99163.36
22/02/2022 21:16:29, DPS310, P, 99163.09
22/02/2022 21:16:29, DPS310, P, 99163.07
22/02/2022 21:16:30, DPS310, P, 99163.08
22/02/2022 21:16:30, DPS310, P, 99163.00
22/02/2022 21:16:30, DPS310, P, 99163.10
22/02/2022 21:16:31, DPS310, P, 99163.24
22/02/2022 21:16:31, DPS310, P, 99163.16
22/02/2022 21:16:32, DPS310, P, 99163.11
22/02/2022 21:16:32, DPS310, P, 99163.34
22/02/2022 21:16:33, DPS310, P, 99163.13
22/02/2022 21:16:33, DPS310, P, 99163.08
22/02/2022 21:16:34, DPS310, P, 99162.96
22/02/2022 21:16:34, DPS310, P, 99163.10
22/02/2022 21:16:35, DPS310, P, 99162.99
22/02/2022 21:16:36, DPS310, P, 99162.92
22/02/2022 21:16:36, DPS310, P, 99163.10
22/02/2022 21:16:36, DPS310, P, 99163.09
22/02/2022 21:16:37, DPS310, P, 99162.94
22/02/2022 21:16:37, DPS310, P, 99163.02
22/02/2022 21:16:38, DPS310, P, 99163.07
22/02/2022 21:16:38, DPS310, P, 99162.93
22/02/2022 21:16:39, DPS310, P, 99162.92
22/02/2022 21:16:39, DPS310, P, 99162.82
22/02/2022 21:16:40, DPS310, P, 99162.75
22/02/2022 21:16:41, DPS310, P, 99163.04
22/02/2022 21:16:41, DPS310, P, 99163.17
22/02/2022 21:16:41, DPS310, P, 99163.11
22/02/2022 21:16:42, DPS310, P, 99163.35
22/02/2022 21:16:42, DPS310, P, 99163.25
22/02/2022 21:16:43, DPS310, P, 99163.27
22/02/2022 21:16:43, DPS310, P, 99163.17
22/02/2022 21:16:44, DPS310, P, 99163.27
22/02/2022 21:16:44, DPS310, P, 99163.37
22/02/2022 21:16:45, DPS310, P, 99163.18
22/02/2022 21:16:45, DPS310, P, 99163.43
22/02/2022 21:16:46, DPS310, P, 99163.42
22/02/2022 21:16:46, DPS310, P, 99163.32
22/02/2022 21:16:47, DPS310, P, 99163.50
22/02/2022 21:16:47, DPS310, P, 99163.55
22/02/2022 21:16:48, DPS310, P, 99163.65
22/02/2022 21:16:48, DPS310, P, 99163.60
22/02/2022 21:16:49, DPS310, P, 99163.64
22/02/2022 21:16:49, DPS310, P, 99163.58
22/02/2022 21:16:50, DPS310, P, 99163.50
22/02/2022 21:16:50, DPS310, P, 99163.57
22/02/2022 21:16:51, DPS310, P, 99163.49
22/02/2022 21:16:51, DPS310, P, 99163.45
22/02/2022 21:16:52, DPS310, P, 99163.43
22/02/2022 21:16:52, DPS310, P, 99163.55
22/02/2022 21:16:53, DPS310, P, 99163.50
22/02/2022 21:16:53, DPS310, P, 99163.58
22/02/2022 21:16:54, DPS310, P, 99163.42
22/02/2022 21:16:54, DPS310, P, 99163.55
22/02/2022 21:16:55, DPS310, P, 99163.57
22/02/2022 21:16:55, DPS310, P, 99163.54
22/02/2022 21:16:56, DPS310, P, 99163.40
22/02/2022 21:16:56, DPS310, P, 99163.50
22/02/2022 21:16:57, DPS310, P, 99163.67
22/02/2022 21:16:57, DPS310, P, 99163.85
22/02/2022 21:16:58, DPS310, P, 99163.75
22/02/2022 21:16:58, DPS310, P, 99163.67
22/02/2022 21:16:59, DPS310, P, 99163.78
22/02/2022 21:16:59, DPS310, P, 99163.82
22/02/2022 21:17:00, DPS310, P, 99163.89
22/02/2022 21:17:01, DPS310, P, 99163.88
22/02/2022 21:17:01, DPS310, P, 99163.87
22/02/2022 21:17:01, DPS310, P, 99163.97
22/02/2022 21:17:02, DPS310, P, 99164.04
22/02/2022 21:17:02, DPS310, P, 99164.02
22/02/2022 21:17:03, DPS310, P, 99164.03
22/02/2022 21:17:03, DPS310, P, 99163.95
22/02/2022 21:17:04, DPS310, P, 99164.03
22/02/2022 21:17:04, DPS310, P, 99164.06
22/02/2022 21:17:05, DPS310, P, 99163.97
22/02/2022 21:17:06, DPS310, P, 99164.08
22/02/2022 21:17:06, DPS310, P, 99164.10
22/02/2022 21:17:06, DPS310, P, 99164.12
22/02/2022 21:17:07, DPS310, P, 99164.05
22/02/2022 21:17:07, DPS310, P, 99164.02
22/02/2022 21:17:08, DPS310, P, 99163.96
22/02/2022 21:17:08, DPS310, P, 99164.18
22/02/2022 21:17:09, DPS310, P, 99163.90
22/02/2022 21:17:09, DPS310, P, 99163.79
22/02/2022 21:17:10, DPS310, P, 99163.84
22/02/2022 21:17:11, DPS310, P, 99163.93
22/02/2022 21:17:11, DPS310, P, 99163.82
22/02/2022 21:17:11, DPS310, P, 99164.14
22/02/2022 21:17:12, DPS310, P, 99164.15
22/02/2022 21:17:12, DPS310, P, 99164.11
22/02/2022 21:17:13, DPS310, P, 99163.98
22/02/2022 21:17:13, DPS310, P, 99164.07
22/02/2022 21:17:14, DPS310, P, 99164.21
22/02/2022 21:17:14, DPS310, P, 99164.07
22/02/2022 21:17:15, DPS310, P, 99164.13
22/02/2022 21:17:16, DPS310, P, 99164.16
22/02/2022 21:17:16, DPS310, P, 99164.17
22/02/2022 21:17:16, DPS310, P, 99164.26
22/02/2022 21:17:17, DPS310, P, 99164.38
22/02/2022 21:17:17, DPS310, P, 99164.46
22/02/2022 21:17:18, DPS310, P, 99164.50
22/02/2022 21:17:18, DPS310, P, 99164.44
22/02/2022 21:17:19, DPS310, P, 99164.71
22/02/2022 21:17:19, DPS310, P, 99164.99
22/02/2022 21:17:20, DPS310, P, 99164.79
22/02/2022 21:17:21, DPS310, P, 99165.02
22/02/2022 21:17:21, DPS310, P, 99164.87
22/02/2022 21:17:21, DPS310, P, 99164.92
22/02/2022 21:17:22, DPS310, P, 99164.89
