23/02/2022 13:40:58, HDC2010, H, 0.00
23/02/2022 13:41:03, HDC2010, H, 0.00
23/02/2022 13:41:08, HDC2010, H, 0.00
23/02/2022 13:41:13, HDC2010, H, 0.00
23/02/2022 13:41:18, HDC2010, H, 0.00
23/02/2022 13:41:23, HDC2010, H, 0.00
23/02/2022 13:41:27, HDC2010, H, 0.00
23/02/2022 13:41:33, HDC2010, H, 0.00
23/02/2022 13:41:38, HDC2010, H, 0.00
23/02/2022 13:41:42, HDC2010, H, 0.00
23/02/2022 13:41:48, HDC2010, H, 0.00
23/02/2022 13:41:53, HDC2010, H, 0.00
23/02/2022 13:41:58, HDC2010, H, 0.00
23/02/2022 13:42:03, HDC2010, H, 0.00
23/02/2022 13:42:08, HDC2010, H, 0.00
23/02/2022 13:42:13, HDC2010, H, 0.00
23/02/2022 13:42:18, HDC2010, H, 0.00
23/02/2022 13:42:23, HDC2010, H, 0.00
23/02/2022 13:42:28, HDC2010, H, 0.00
23/02/2022 13:42:33, HDC2010, H, 0.00
23/02/2022 13:42:38, HDC2010, H, 0.00
23/02/2022 13:42:43, HDC2010, H, 0.00
23/02/2022 13:42:48, HDC2010, H, 0.00
23/02/2022 13:42:53, HDC2010, H, 0.00
23/02/2022 13:42:57, HDC2010, H, 0.00
23/02/2022 13:43:03, HDC2010, H, 0.00
23/02/2022 13:43:08, HDC2010, H, 0.00
23/02/2022 13:43:12, HDC2010, H, 0.00
23/02/2022 13:43:18, HDC2010, H, 0.00
23/02/2022 13:43:23, HDC2010, H, 0.00
23/02/2022 13:43:28, HDC2010, H, 0.00
23/02/2022 13:43:33, HDC2010, H, 0.00
23/02/2022 13:43:38, HDC2010, H, 0.00
23/02/2022 13:43:42, HDC2010, H, 0.00
23/02/2022 13:43:48, HDC2010, H, 0.00
23/02/2022 13:43:53, HDC2010, H, 0.00
23/02/2022 13:43:57, HDC2010, H, 0.00
23/02/2022 13:44:03, HDC2010, H, 0.00
23/02/2022 13:44:08, HDC2010, H, 0.00
23/02/2022 13:44:13, HDC2010, H, 0.00
23/02/2022 13:44:18, HDC2010, H, 0.00
23/02/2022 13:44:23, HDC2010, H, 0.00
23/02/2022 13:44:27, HDC2010, H, 0.00
23/02/2022 13:44:33, HDC2010, H, 0.00
23/02/2022 13:44:38, HDC2010, H, 0.00
23/02/2022 13:44:43, HDC2010, H, 0.00
23/02/2022 13:44:48, HDC2010, H, 0.00
23/02/2022 13:44:53, HDC2010, H, 0.00
23/02/2022 13:44:58, HDC2010, H, 0.00
23/02/2022 13:45:03, HDC2010, H, 0.00
23/02/2022 13:45:08, HDC2010, H, 0.00
23/02/2022 13:45:12, HDC2010, H, 0.00
23/02/2022 13:45:18, HDC2010, H, 0.00
23/02/2022 13:45:23, HDC2010, H, 0.00
23/02/2022 13:45:28, HDC2010, H, 0.00
23/02/2022 13:45:33, HDC2010, H, 0.00
23/02/2022 13:45:38, HDC2010, H, 0.00
23/02/2022 13:45:43, HDC2010, H, 0.00
23/02/2022 13:45:48, HDC2010, H, 0.00
23/02/2022 13:45:53, HDC2010, H, 0.00
23/02/2022 13:45:57, HDC2010, H, 0.00
23/02/2022 13:46:03, HDC2010, H, 0.00
23/02/2022 13:46:08, HDC2010, H, 0.00
23/02/2022 13:46:12, HDC2010, H, 0.00
23/02/2022 13:46:18, HDC2010, H, 0.00
23/02/2022 13:46:23, HDC2010, H, 0.00
23/02/2022 13:46:27, HDC2010, H, 0.00
23/02/2022 13:46:33, HDC2010, H, 0.00
23/02/2022 13:46:38, HDC2010, H, 0.00
23/02/2022 13:46:43, HDC2010, H, 0.00
23/02/2022 13:46:48, HDC2010, H, 0.00
23/02/2022 13:46:53, HDC2010, H, 0.00
23/02/2022 13:46:58, HDC2010, H, 0.00
23/02/2022 13:47:03, HDC2010, H, 0.00
23/02/2022 13:47:08, HDC2010, H, 0.00
23/02/2022 13:47:12, HDC2010, H, 0.00
23/02/2022 13:47:18, HDC2010, H, 0.00
23/02/2022 13:47:23, HDC2010, H, 0.00
23/02/2022 13:47:27, HDC2010, H, 0.00
23/02/2022 13:47:33, HDC2010, H, 0.00
23/02/2022 13:47:38, HDC2010, H, 0.00
23/02/2022 13:47:42, HDC2010, H, 0.00
23/02/2022 13:47:48, HDC2010, H, 0.00
23/02/2022 13:47:53, HDC2010, H, 0.00
23/02/2022 13:47:57, HDC2010, H, 0.00
23/02/2022 13:48:03, HDC2010, H, 0.00
23/02/2022 13:48:08, HDC2010, H, 0.00
23/02/2022 13:48:12, HDC2010, H, 0.00
23/02/2022 13:48:18, HDC2010, H, 0.00
23/02/2022 13:48:23, HDC2010, H, 0.00
23/02/2022 13:48:27, HDC2010, H, 0.00
23/02/2022 13:48:33, HDC2010, H, 0.00
23/02/2022 13:48:38, HDC2010, H, 0.00
23/02/2022 13:48:49, HDC2010, H, 0.00
23/02/2022 13:49:42, HDC2010, H, 0.00
23/02/2022 13:49:46, HDC2010, H, 0.00
23/02/2022 13:49:50, HDC2010, H, 0.00
23/02/2022 13:50:30, HDC2010, H, 0.00
23/02/2022 13:50:34, HDC2010, H, 0.00
23/02/2022 13:50:38, HDC2010, H, 0.00
23/02/2022 13:50:43, HDC2010, H, 0.00
23/02/2022 13:50:48, HDC2010, H, 0.00
23/02/2022 13:50:53, HDC2010, H, 0.00
