25/02/2022 09:40:48, OPT3001, L, 92.64
25/02/2022 09:40:49, OPT3001, L, 92.64
25/02/2022 09:40:50, OPT3001, L, 92.00
25/02/2022 09:40:51, OPT3001, L, 92.32
25/02/2022 09:40:52, OPT3001, L, 92.00
25/02/2022 09:40:53, OPT3001, L, 91.04
25/02/2022 09:40:54, OPT3001, L, 92.32
25/02/2022 09:40:55, OPT3001, L, 92.00
25/02/2022 09:40:56, OPT3001, L, 92.00
25/02/2022 09:40:57, OPT3001, L, 92.00
25/02/2022 09:40:58, OPT3001, L, 92.96
25/02/2022 09:40:59, OPT3001, L, 93.28
25/02/2022 09:41:00, OPT3001, L, 93.64
25/02/2022 09:41:01, OPT3001, L, 93.92
25/02/2022 09:41:02, OPT3001, L, 93.64
25/02/2022 09:41:03, OPT3001, L, 93.96
25/02/2022 09:41:04, OPT3001, L, 93.96
25/02/2022 09:41:05, OPT3001, L, 93.96
25/02/2022 09:41:06, OPT3001, L, 93.96
25/02/2022 09:41:07, OPT3001, L, 93.96
25/02/2022 09:41:08, OPT3001, L, 94.92
25/02/2022 09:41:09, OPT3001, L, 94.60
25/02/2022 09:41:10, OPT3001, L, 95.56
25/02/2022 09:41:11, OPT3001, L, 95.56
25/02/2022 09:41:12, OPT3001, L, 96.52
25/02/2022 09:41:13, OPT3001, L, 95.88
25/02/2022 09:41:14, OPT3001, L, 96.52
25/02/2022 09:41:15, OPT3001, L, 96.84
25/02/2022 09:41:16, OPT3001, L, 97.48
25/02/2022 09:41:17, OPT3001, L, 97.80
25/02/2022 09:41:18, OPT3001, L, 97.16
25/02/2022 09:41:19, OPT3001, L, 97.48
25/02/2022 09:41:20, OPT3001, L, 98.76
25/02/2022 09:41:21, OPT3001, L, 99.08
25/02/2022 09:41:22, OPT3001, L, 99.40
25/02/2022 09:41:23, OPT3001, L, 100.04
25/02/2022 09:41:24, OPT3001, L, 100.04
25/02/2022 09:41:25, OPT3001, L, 99.72
25/02/2022 09:41:26, OPT3001, L, 99.40
25/02/2022 09:41:27, OPT3001, L, 99.72
25/02/2022 09:41:28, OPT3001, L, 99.08
25/02/2022 09:41:29, OPT3001, L, 99.72
25/02/2022 09:41:30, OPT3001, L, 99.08
25/02/2022 09:41:31, OPT3001, L, 99.40
25/02/2022 09:41:32, OPT3001, L, 98.76
25/02/2022 09:41:33, OPT3001, L, 99.40
25/02/2022 09:41:34, OPT3001, L, 99.08
25/02/2022 09:41:35, OPT3001, L, 99.08
25/02/2022 09:41:36, OPT3001, L, 99.40
25/02/2022 09:41:37, OPT3001, L, 100.04
25/02/2022 09:41:38, OPT3001, L, 100.04
25/02/2022 09:41:39, OPT3001, L, 100.40
25/02/2022 09:41:40, OPT3001, L, 100.04
25/02/2022 09:41:41, OPT3001, L, 100.08
25/02/2022 09:41:42, OPT3001, L, 100.72
25/02/2022 09:41:43, OPT3001, L, 100.72
25/02/2022 09:41:44, OPT3001, L, 100.08
25/02/2022 09:41:45, OPT3001, L, 101.36
25/02/2022 09:41:46, OPT3001, L, 101.04
25/02/2022 09:41:47, OPT3001, L, 101.04
25/02/2022 09:41:48, OPT3001, L, 101.36
25/02/2022 09:41:49, OPT3001, L, 101.04
25/02/2022 09:41:50, OPT3001, L, 101.68
25/02/2022 09:41:51, OPT3001, L, 101.04
25/02/2022 09:41:52, OPT3001, L, 101.04
25/02/2022 09:41:53, OPT3001, L, 101.04
25/02/2022 09:41:54, OPT3001, L, 101.68
25/02/2022 09:41:55, OPT3001, L, 102.00
25/02/2022 09:41:56, OPT3001, L, 102.00
25/02/2022 09:41:57, OPT3001, L, 101.36
25/02/2022 09:41:58, OPT3001, L, 101.36
25/02/2022 09:41:59, OPT3001, L, 101.68
25/02/2022 09:42:00, OPT3001, L, 100.40
25/02/2022 09:42:01, OPT3001, L, 100.40
25/02/2022 09:42:02, OPT3001, L, 100.36
25/02/2022 09:42:03, OPT3001, L, 101.04
25/02/2022 09:42:04, OPT3001, L, 101.04
25/02/2022 09:42:05, OPT3001, L, 101.36
25/02/2022 09:42:06, OPT3001, L, 102.00
25/02/2022 09:42:07, OPT3001, L, 102.32
25/02/2022 09:42:08, OPT3001, L, 102.64
25/02/2022 09:42:09, OPT3001, L, 102.32
25/02/2022 09:42:10, OPT3001, L, 101.68
25/02/2022 09:42:11, OPT3001, L, 102.32
25/02/2022 09:42:12, OPT3001, L, 102.32
25/02/2022 09:42:13, OPT3001, L, 102.00
25/02/2022 09:42:14, OPT3001, L, 101.68
25/02/2022 09:42:15, OPT3001, L, 101.68
25/02/2022 09:42:16, OPT3001, L, 102.64
25/02/2022 09:42:17, OPT3001, L, 103.92
25/02/2022 09:42:18, OPT3001, L, 100.40
25/02/2022 09:42:19, OPT3001, L, 100.40
25/02/2022 09:42:20, OPT3001, L, 101.68
25/02/2022 09:42:21, OPT3001, L, 100.40
25/02/2022 09:42:22, OPT3001, L, 101.04
25/02/2022 09:42:23, OPT3001, L, 102.32
25/02/2022 09:42:24, OPT3001, L, 102.00
25/02/2022 09:42:25, OPT3001, L, 102.00
25/02/2022 09:42:26, OPT3001, L, 101.04
25/02/2022 09:42:27, OPT3001, L, 101.36
25/02/2022 09:42:28, OPT3001, L, 102.00
25/02/2022 09:42:29, OPT3001, L, 102.96
25/02/2022 09:42:30, OPT3001, L, 101.68
25/02/2022 09:42:31, OPT3001, L, 101.04
25/02/2022 09:42:32, OPT3001, L, 101.04
25/02/2022 09:42:33, OPT3001, L, 100.72
25/02/2022 09:42:34, OPT3001, L, 100.72
25/02/2022 09:42:35, OPT3001, L, 102.00
25/02/2022 09:42:36, OPT3001, L, 101.68
25/02/2022 09:42:37, OPT3001, L, 102.96
25/02/2022 09:42:38, OPT3001, L, 102.64
25/02/2022 09:42:39, OPT3001, L, 102.64
25/02/2022 09:42:40, OPT3001, L, 102.64
25/02/2022 09:42:41, OPT3001, L, 102.96
25/02/2022 09:42:42, OPT3001, L, 102.32
25/02/2022 09:42:43, OPT3001, L, 103.28
25/02/2022 09:42:44, OPT3001, L, 102.96
25/02/2022 09:42:45, OPT3001, L, 102.96
25/02/2022 09:42:46, OPT3001, L, 103.28
25/02/2022 09:42:47, OPT3001, L, 103.60
25/02/2022 09:42:48, OPT3001, L, 103.28
25/02/2022 09:42:49, OPT3001, L, 104.24
25/02/2022 09:42:50, OPT3001, L, 103.28
25/02/2022 09:42:51, OPT3001, L, 103.28
25/02/2022 09:42:52, OPT3001, L, 103.60
25/02/2022 09:42:53, OPT3001, L, 104.24
25/02/2022 09:42:54, OPT3001, L, 104.24
25/02/2022 09:42:55, OPT3001, L, 103.92
25/02/2022 09:42:56, OPT3001, L, 103.60
25/02/2022 09:42:57, OPT3001, L, 104.88
25/02/2022 09:42:58, OPT3001, L, 104.88
25/02/2022 09:42:59, OPT3001, L, 105.52
25/02/2022 09:43:00, OPT3001, L, 104.88
25/02/2022 09:43:01, OPT3001, L, 105.84
25/02/2022 09:43:02, OPT3001, L, 105.84
25/02/2022 09:43:03, OPT3001, L, 104.88
25/02/2022 09:43:04, OPT3001, L, 105.20
25/02/2022 09:43:05, OPT3001, L, 105.20
25/02/2022 09:43:06, OPT3001, L, 106.16
25/02/2022 09:43:07, OPT3001, L, 106.80
25/02/2022 09:43:08, OPT3001, L, 106.84
25/02/2022 09:43:09, OPT3001, L, 106.80
25/02/2022 09:43:10, OPT3001, L, 106.20
25/02/2022 09:43:11, OPT3001, L, 106.52
25/02/2022 09:43:12, OPT3001, L, 106.16
25/02/2022 09:43:13, OPT3001, L, 105.20
25/02/2022 09:43:14, OPT3001, L, 105.52
25/02/2022 09:43:15, OPT3001, L, 106.52
25/02/2022 09:43:16, OPT3001, L, 106.48
25/02/2022 09:43:17, OPT3001, L, 108.12
25/02/2022 09:43:18, OPT3001, L, 106.84
25/02/2022 09:43:19, OPT3001, L, 106.84
25/02/2022 09:43:20, OPT3001, L, 106.16
